CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Aussenbereich – Armaturenschrank Ammoniak: Die Rohrdurchfuehrungen duerfen nicht ganz verschlossen werden, da notwendig fuer die natuerliche Lueftung (ist in die Anlagenberechnung mit eingegangen). Ein Gitter zum Schutz vor Ungeziefer ist zulaessig und sollte installiert werden.",Process Safety,Armaturenschrank Ammoniak: Die Rohrdurchfuehrungen duerfen nicht ganz verschlossen werden,Non-Process Safety
Risiko Weniger: Am Hilfskessel 2 hat sich die Kesselspeisepumpe  nicht abgeschaltet. der Kessel wurde ueber speist. Es wurde eine SAP Meldung angelegt und eine Untersuchung durch die Produktion veranlasst.,Process Safety,Risiko Weniger: Am Hilfskessel 2 hat sich die Kesselspeisepumpe  nicht abgeschaltet. der Kessel wurde ueber speist. Es wurde eine SAP Meldung angelegt und eine Untersuchung durch die Produktion veranlasst.,Non-Process Safety
"As part of the return to service of the unit after outage, the gas system was being recommissioned, during the process gas alarms were received within the DLN2.6 enclosure.",Process Safety,Unit 3 Gas leak in DLN2.6 Enclosure,Non-Process Safety
"lekkage multicycloon door te ijverige schoonmaker.
Er zijn tijdens schoonmaakewerkzaamheden delen van de multicycloon losgemaakt tbv grondige reiniging terwijl dit niet de bedoeling was omdat de werkvergunning zonderveiligstelling was.",Process Safety,lekkage Multicycloon 2,Non-Process Safety
Bristfallig information,Process Safety,Bristfallig information,Non-Process Safety
"During annual fire fighting systems testing, a failure was found in the unit transformer fire fighting system (failed orifice). The failure could potentially hinder the activation of the sprinkler system in case of a fire. The issue has been rectified immediately.

A BAT  és BBT transzformátorok automatikus oltása a teszt folyamán nem indult el éles helyzetet szimulálva, mivel a szelepeket megtámasztó levegő nagy mértékű nyomásesése nem valósult meg az éles teszt közeben, mivel a levegő hálózatba beépített szűkítők átszakadtak nem megfelelő anyagválasztás miatt. A beépített szűkítők klingerintből voltak.",Process Safety,Transformer fire fighting system failure,Non-Process Safety
"Ort: UTH (gesamter Anlagenteil)
Hinweis:
TOP: Aufgefundene Leitern sind geprueft.
Klaerung: Sind die Leitern noch in Gebrauch ? Muessen diese dort dauerhaft stehen oder koennen die Leitern in die Werkstatt ?",Process Safety,"sind die Leitern dauerhaft in Gebrauch, muessen diese dort stehen?",Non-Process Safety
"Lagerung von Arbeitsmaterial, Ordnern und anderen Objekten auf Lueftungskanal",Process Safety,"REG BGL Schalthaus 1: Lagerung von Arbeitsmaterial, Ordnern und anderen Objekten auf Lueftungskanal",Non-Process Safety
Gas leak discovered on final chance filter.,Process Safety,Gas leak found on Final Chance Filter,Non-Process Safety
Tilltrade kvar i fem veckor for entreprenor som fatt sluta,Process Safety,Tilltrade kvar i fem veckor for entreprenor som fatt sluta,Non-Process Safety
"Éles tűzjelzés az UST fsz.01.01 telekommunikációs terem kézi 1-181/24 (18124 
zóna) egységről.
Helyszín ellenőrizve, tűz,füst nincs. Tűzoltóság lemondva.",Process Safety,Téves Tűzjelzés az UST telekommunikációs helységből,Non-Process Safety
valve leaking from gland packing on stem GRA-81-LAE-51-AA0017. PEM 120 barriers in place on north side,Process Safety,U8 ISDSH VALVE STEAM LEAK - PEM 120 EXCLUSION ZONE,Non-Process Safety
In de container voor lege ammoniak jerrycans staat een jerrycan bol/onder druk.,Process Safety,(lege) jerrycan ammoniak staat bol/onder druk,Non-Process Safety
"Outage SAP was performing pre-checks prior to de-isolating the UGX process water system. During the checks the SAP noticed two flow switches had been installed in to a process water pipe.
The individual carrying out the task had signed on to an LWC and installed the flow switches. 
The LWC did not cover the work for the task being undertaken.",Process Safety,Flow switch fitted with incorrect permit,Non-Process Safety
Whilst using the HY-Torq equipment to remove the casing nuts the stud that the equipment was working against sheared. On further inspection the stud looked to have been cracked/defective for some time as signs of corrosion were present. The system operates at around 320 degrees 120 bar.,Process Safety,Bolt Sheared on HP Circ Pump Casing,Non-Process Safety
Oskarshamn 0 - Obefogat anvandande av 861 brandvatten,Process Safety,Oskarshamn 0 - Obefogat anvandande av 861 brandvatten,Non-Process Safety
"0m Die Dehnungsfugen im Bereich der Muehle 4 muessen ausgebessert werden. Auf der noerdlichen Seite stehen Riffelbleche hoch, zwischen der Muehle 3 und 4 befinden sich Betonausbrueche",Process Safety,"Begehung - Dehnungsfugen ausbessern, Riffelbleche / Betonausbrueche",Non-Process Safety
Rokutveckling vid provstart av dieselmotor,Process Safety,Rokutveckling vid provstart av dieselmotor,Non-Process Safety
Electrical work was carried out on the UV filter using the MO operation line for the mechanical work. The UV filter was fully isolated at the time.,Process Safety,Work carried out under incorrect MO operation line,Non-Process Safety
haak van kraan komt tegen  nieuw gebouwde stuurcilinder bypass leiding,Process Safety,kraanhaak,Non-Process Safety
Schaltanlage Block B: An 2 Feldgeraeten steckte der Schluessel zum unverriegelten Schalten,Process Safety,ROG 330 - Schaltanlage Block B: An 2 Feldgeraeten steckte der Schluessel zum unverriegelten Schalten,Non-Process Safety
"Aluminum platform used for Air intake manifold has cracks on welded joints. Work stopped, scaffold supports erected to secure platform to allow work to continue. On removal, platform to be quarantined and sent away for repair.",Process Safety,Cracked weld on Air intake manifold access platform,Non-Process Safety
"The CO2 tank has been boxed up (manway door replaced), before we box up we always have a heater installed right up to the point the door goes on and tank recharged. However the tank has not been charged with CO2, and the door has been on for several days, there could be potential due to the fluctuation in ambient temperatures for condensate to form in the small bore instrumentation and when the tank is charged with CO2 then the condensate may freeze compromising the instrumentation",Process Safety,Unit 1 CO2 tank potential for instrumentation to freeze,Non-Process Safety
"Loss of Milling plant on Unit 2. 'A' PA fan Motor U/S (long Term), 'C' Mill Lub Oil pump tripping(12/01/2022), 'E' Feeder Tripping due to chain damage (12/01/2022). This has led to a load reduction to 400Mw until 12:00hrs 13/01/2022.",Process Safety,Operational Loss - Loss of Milling plant on Unit 2,Non-Process Safety
An open vessel with a permit to work in force was found with one of the isolation valves removed and was placed on the gantry floor with padlock and caution notice attached.,Process Safety,Valve used as isolation point on a Permit for work removed as part of work.,Non-Process Safety
"DGUV-Pruefung E-Heizung im Maschinenhaus:
Das Datum der letzten und der zukuenftigen Pruefung ist nicht zu erkennen.",Process Safety,"KGW2 Sicherheitsbegehung 01.02.2022
DGUV-Pruefung E-Heizung Maschinenhaus",Non-Process Safety
"Gas detector checks in C10 – identified that installation cap was still on, likely for the last 5 years.  Thereafter found one other in C20.  Test point injection point not affected by cap.",Process Safety,"Gas detector installation cap left on, potential to compromise operation",Non-Process Safety
Oskarshamn 3 - Platar over golvrannor i Reaktorbyggnad,Process Safety,Oskarshamn 3 - Platar over golvrannor i Reaktorbyggnad,Non-Process Safety
Oskarshamn 3 - RA3-25 ERF - Fel las till Diesel-D,Process Safety,Oskarshamn 3 - RA3-25 ERF - Fel las till Diesel-D,Non-Process Safety
"Es wurden mehrere unverschlossene Tore an neuralgischen Punkten auf dem Gelaende des KWD vorgefunden. Zur Sicherung dieser sensiblen Infrastruktur ist es notwendig alle Tueren und Tore geschlossen zu halten, um vermeintlichen Unbefugten den Zugang zu verwehren.",Process Safety,Unverschlossene Tore im Bereich zu schuetzender Anlagenareale des KWD,Non-Process Safety
Die Schilder an der 110KV Freiluftschaltanlage sind teilweise stark ausgeblichen und angeschossen,Process Safety,Ausgeblichene Warnschilder an der Freiluftschaltanlage,Non-Process Safety
The fire deluge valves were being tested at Enfield and 5 of the 6 had been completed. The final test was on the GT aux deluge which was activated as planned by the contractor with the discharge valve shut. When it activated the contractor noticed the Main and Station Services transformer deluges activated as well. The contractor instantly closed their discharge valves. The contractor confirmed with the CCR that they shouldn't have activated and local investigation showed no water in the main transformer bund and some water on the floor of the services transformer but the transformer itself and cabling was dry.  Work was stopped to investigate why these two deluges had activated.,Process Safety,Deluge activation during testing,Non-Process Safety
It appears tramp metal is becoming quite excessive across the mill groups and now more amounts are showing up down the mill bay.,Process Safety,Op Loss - Tramp metal becoming excessive across mill groups.,Non-Process Safety
Das Gleisbett im Bereich Schranke (Tor 3) ist mit Kohle zugeschuettet.,Process Safety,HSSE: Gleisbett zugeschuettet - Waggonentladung,Non-Process Safety
"In den Raeumen A1.046, A1.154, A3.154 ist die Sauberkeit nicht gegeben und Gegenstaende sind in den Raeumen verstaut (siehe. Fotos)",Process Safety,"AvH LIW-P Raeume: In den Raeumen A1.046, A1.154, A3.154 ist die Sauberkeit nicht gegeben und Gegenstaende sind in den Raeumen verstaut (siehe. Fotos)",Non-Process Safety
Unable to close Station Interconnector VCB.,Process Safety,PSO - Unit 2-V Switchboard,Non-Process Safety
Auftragspapier ist durchnaesst und muss ausgetauscht und vor Naesse geschuetzt werden.,Process Safety,Kamin 1 - durchnaesstes Auftragspapier,Non-Process Safety
"On unit 3 run-up A1 Re-heater Intercept valve tripped and went undetected. The unit was synchronised and proceeded to load up, at approx. 440MW Hot Re-heater safety valve 166 lifted as a result of the intercept valve being tripped. Although the HP exhaust pressure was only 40 bar, indicating the safety valve had lifted “light” (there are also 4 other R/htr safety valves passing on this unit).
The unit load was reduced to 230MW initially thus reducing R/htr pressure and enable a gag to be installed, unsuccessful the load had to be reduced further to 20MW allowing successful fitting of the gag. Unit load was then returned back to full capacity. 
The problem of the tripping intercept valves on fast (5 minute) run-ups has been highlighted several times in the past and a previous OIT raised. Also, the turbine valve tripping isn’t highlighted significantly enough, meaning operators can miss this crucial problem.",Process Safety,PSNH  - U3 re-heater Intercept valve tripping leading to r/htr safety valve 166 to lift.,Non-Process Safety
Sekretssuppgifter om det fysiska skyddet laggs ut pa Synenergi,Process Safety,Sekretssuppgifter om det fysiska skyddet laggs ut pa Synenergi,Non-Process Safety
"A Defib box was to be installed on the outside of the station switch house, requiring it to be connected into a distribution board in the station switch house cable way that had a spare fuse carrier available. 
That morning the SAP asked the Electrical Supervisor to show him said distribution board so he could clearly identify the point of isolation he was going to use.  The fuse carrier to be used was identified (the fuse holder+fuse was missing so the SAP didnt have to remove it). The plan was to connect into the outgoing side of the fuse carrier so the SAP physically covered the live side of the fuse carrier with a caution card and protected the area with caution tape. 
When the document was cancelled the CP informed the SAP that what was thought to be the outgoing side was in actual fact the live side which he discovered when he tested for dead. At this point instead of returning to the SAP the CP removed the isolation and connected into the true outgoing side of the fuse carrier and completed the job.",Process Safety,"Point of isolation interfered without consultation with SAP.
RB 26/07 - Case extended to 21/08 due to tech detail required for completion.",Non-Process Safety
Tuerschliesser neuer Gebaeudeteil defekt,Process Safety,ROG 330 - Tuerschliesser neuer Gebaeudeteil defekt,Non-Process Safety
Loss of fire detection to relay room & cable tunnels with no alarm to centre desk.,Process Safety,Vesda fire detection panel out of services,Non-Process Safety
"An der Zentralsaeule, Etage unterhalb des Absetzers, liegt  vom Absetzerabstreifer zum Teil ca. 5cm hoch Kohleabrieb. -> Reinigung erforderlich.",Process Safety,"KKl, Kohleabsetzer -",Non-Process Safety
Afgelopen zaterdag zijn er werkzaamheden uitgevoerd rondom het terugplaatsen van GT2 te Leiden. Deze werkzaamheden zijn uitgevoerd zonder de juiste werkvergunning en een daarbij horende TRA. Werkzaamheden lijken hierdoor niet goed voorbereid.,Process Safety,Werkzaamheden rondom GT2 ELD uitgevoerd zonder juiste werkvergunning/TRA,Non-Process Safety
Oskarshamn 2 - RIO - Saknar kabelskydd i D4.22,Process Safety,Oskarshamn 2 - RIO - Saknar kabelskydd i D4.22,Non-Process Safety
A site survey was carried out at Blyborough Gas AGI with a FLIR methane gas detection camera and a minor gas leak was detected on the PIG Launcher door. The leak is at an outside and  hazardous area  gas zone 2 location. Further investigations with an Oxygas 500 detector could not detect the leak.,Process Safety,PIG Launcher Door minor gas leak,Non-Process Safety
"Juiste instelling is openen bij -10mbar, rapportage test laat zien dat hij opent bij -60mbar. Na testen (eind 2020) is klep teruggeplaats. Rapportage kwam deze week binnen",Process Safety,Rapportage toont dat vacuumveiligheidsklep ('snuifklep') NH4OH tank B verkeerd is afgesteld. Klep is na testen terug geplaats.,Non-Process Safety
During works to Hydrostatically Test the newly installed 12” Fire Main the line unexpected movement that resulted in the mechanical failure of the bellows installed in the line.,Process Safety,Failed Hydro Pressure Test,Non-Process Safety
Versorgungsausfall fuer ca. 3 h,Process Safety,Ausfall FW-Einspeisung Castrop Ruetgers,Non-Process Safety
